SDPA-GMP start at Wed Jun  5 23:35:11 2024
*SDP Scan Problem: V = x^2 - 2*x^4 + x^8
* K = 6; eval = -4.1708542713567835; Domain = R+ with BCs: Neumann
data      is /Users/gorg/qmBoot/data/K=6_BC-Neumann_V_0.0_0.0_1.0_0.0_-2.0_0.0_0.0_0.0_1.0/e=-4.1708542713567835_K=6_D=R+.dat
parameter is ./param.sdpa
out       is /Users/gorg/qmBoot/data/K=6_BC-Neumann_V_0.0_0.0_1.0_0.0_-2.0_0.0_0.0_0.0_1.0/e=-4.1708542713567835_K=6_D=R+.out
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
 0 1.0e+20 1.0e+00 1.0e+00 +0.00e+00 -3.80e+09 1.0e+00 9.0e-01 3.00e-01
 1 1.6e+19 8.6e-88 1.0e-01 +1.60e+10 -3.80e+08 9.0e-01 9.0e-01 3.00e-01
 2 2.5e+18 1.7e-87 1.0e-02 +2.46e+10 -3.80e+07 9.0e-01 9.0e-01 3.00e-01
 3 3.8e+17 2.6e-87 1.0e-03 +3.79e+10 -3.80e+06 9.0e-01 9.0e-01 3.00e-01
 4 5.8e+16 3.5e-87 1.0e-04 +5.84e+10 -3.80e+05 9.0e-01 9.0e-01 3.00e-01
 5 9.0e+15 4.3e-87 1.0e-05 +9.00e+10 -3.80e+04 9.0e-01 9.0e-01 3.00e-01
 6 1.4e+15 6.0e-87 1.0e-06 +1.39e+11 -3.80e+03 9.0e-01 9.0e-01 3.00e-01
 7 2.1e+14 1.0e-86 1.0e-07 +2.13e+11 -3.80e+02 9.0e-01 9.0e-01 3.00e-01
 8 3.3e+13 1.0e-86 1.0e-08 +3.29e+11 -3.81e+01 9.0e-01 9.0e-01 3.00e-01
 9 5.1e+12 1.2e-86 1.0e-09 +5.05e+11 -3.88e+00 9.0e-01 9.0e-01 3.00e-01
10 8.2e+11 1.5e-86 9.8e-11 +7.69e+11 -4.64e-01 9.2e-01 9.2e-01 3.00e-01
11 1.7e+11 1.6e-86 7.7e-12 +1.05e+12 -1.19e-01 1.6e+00 1.0e+00 3.00e-01
12 3.8e+10 1.5e-86 1.5e-89 +4.58e+11 -8.08e-02 9.6e-01 9.0e+01 1.00e-01
13 5.1e+09 1.1e-86 1.3e-87 +6.12e+10 -6.65e-02 9.9e-01 9.9e-01 1.00e-01
14 5.5e+08 1.1e-86 6.4e-94 +6.64e+09 -6.73e-02 1.0e+00 1.0e+00 1.00e-01
15 5.7e+07 1.1e-86 1.9e-93 +6.83e+08 -6.81e-02 1.0e+00 1.0e+00 1.00e-01
16 5.8e+06 1.3e-86 3.8e-93 +6.91e+07 -6.90e-02 1.0e+00 1.0e+00 1.00e-01
17 5.8e+05 1.4e-86 1.3e-92 +6.94e+06 -6.98e-02 1.0e+00 1.0e+00 1.00e-01
18 5.8e+04 1.6e-86 7.2e-92 +6.95e+05 -7.05e-02 1.0e+00 1.0e+00 1.00e-01
19 5.8e+03 1.7e-86 8.6e-92 +6.96e+04 -7.11e-02 1.0e+00 1.0e+00 1.00e-01
20 5.8e+02 2.0e-86 5.4e-91 +6.96e+03 -7.17e-02 1.0e+00 1.0e+00 1.00e-01
21 5.8e+01 2.1e-86 2.0e-90 +6.96e+02 -7.22e-02 1.0e+00 3.4e+01 1.00e-01
22 5.9e+00 2.2e-86 5.2e-88 +7.02e+01 -6.28e-02 9.9e-01 2.0e+01 1.00e-01
23 6.6e-01 2.1e-86 8.9e-87 +7.91e+00 +1.49e-02 9.2e-01 5.2e+00 1.00e-01
24 9.6e-02 2.2e-86 3.8e-86 +1.39e+00 +2.38e-01 8.6e-01 1.2e+00 1.00e-01
25 1.7e-02 2.1e-86 9.0e-87 +6.18e-01 +4.13e-01 8.8e-01 9.5e-01 1.00e-01
26 3.0e-03 2.1e-86 5.0e-88 +5.31e-01 +4.94e-01 9.3e-01 9.1e-01 1.00e-01
27 5.3e-04 2.1e-86 1.8e-89 +5.20e-01 +5.13e-01 9.5e-01 9.1e-01 1.00e-01
28 9.0e-05 2.1e-86 4.3e-90 +5.18e-01 +5.17e-01 1.0e+00 9.8e-01 1.00e-01
29 1.0e-05 2.1e-86 4.1e-90 +5.18e-01 +5.18e-01 9.7e-01 1.0e+00 1.00e-01
30 1.1e-06 2.1e-86 1.5e-90 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
31 1.1e-07 2.1e-86 5.3e-91 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
32 1.1e-08 2.1e-86 1.5e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
33 1.1e-09 2.1e-86 2.6e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
34 1.1e-10 2.1e-86 2.1e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
35 1.1e-11 2.1e-86 3.1e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
36 1.1e-12 2.1e-86 3.3e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
37 1.1e-13 2.1e-86 3.3e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
38 1.1e-14 2.1e-86 4.1e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
39 1.1e-15 2.1e-86 3.7e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
40 1.1e-16 2.1e-86 3.8e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
41 1.1e-17 2.1e-86 4.2e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
42 1.1e-18 2.1e-86 5.3e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
43 1.1e-19 2.1e-86 4.7e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
44 1.1e-20 2.1e-86 4.4e-88 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
45 1.1e-21 2.1e-86 2.7e-86 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
46 1.1e-22 2.1e-86 1.6e-85 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
47 1.1e-23 2.1e-86 6.7e-86 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
48 1.1e-24 2.1e-86 2.1e-85 +5.18e-01 +5.18e-01 9.8e-01 1.0e+00 1.00e-01
49 1.1e-25 2.1e-86 1.5e-85 +5.18e-01 +5.18e-01 9.8e-
